velo_in,temp_in,time,frac,temp_pcm
0.3,80.0,0.0,0.0000,30.0000
0.3,80.0,20.0,0.0000,30.7864
0.3,80.0,40.0,0.0000,31.8199
0.3,80.0,60.0,0.0000,32.8850
0.3,80.0,80.0,0.0000,33.9569
0.3,80.0,100.0,0.0016,34.9825
0.3,80.0,120.0,0.0059,35.9073
0.3,80.0,140.0,0.0119,36.7628
0.3,80.0,160.0,0.0191,37.5659
0.3,80.0,180.0,0.0272,38.3265
0.3,80.0,200.0,0.0360,39.0520
0.3,80.0,220.0,0.0454,39.7416
0.3,80.0,240.0,0.0551,40.4076
0.3,80.0,260.0,0.0653,41.0398
0.3,80.0,280.0,0.0757,41.6545
0.3,80.0,300.0,0.0864,42.2439
0.3,80.0,320.0,0.0974,42.8044
0.3,80.0,340.0,0.1082,43.3593
0.3,80.0,360.0,0.1194,43.8859
0.3,80.0,380.0,0.1304,44.4030
0.3,80.0,400.0,0.1416,44.9006
0.3,80.0,420.0,0.1527,45.3855
0.3,80.0,440.0,0.1638,45.8548
0.3,80.0,460.0,0.1750,46.3093
0.3,80.0,480.0,0.1860,46.7547
0.3,80.0,500.0,0.1971,47.1869
0.3,80.0,520.0,0.2082,47.6038
0.3,80.0,540.0,0.2193,48.0108
0.3,80.0,560.0,0.2303,48.4095
0.3,80.0,580.0,0.2414,48.7918
0.3,80.0,600.0,0.2525,49.1629
0.3,80.0,620.0,0.2634,49.5299
0.3,80.0,640.0,0.2745,49.8822
0.3,80.0,660.0,0.2856,50.2221
0.3,80.0,680.0,0.2967,50.5570
0.3,80.0,700.0,0.3078,50.8827
0.3,80.0,720.0,0.3189,51.1959
0.3,80.0,740.0,0.3301,51.5020
0.3,80.0,760.0,0.3412,51.8031
0.3,80.0,780.0,0.3525,52.0923
0.3,80.0,800.0,0.3637,52.3740
0.3,80.0,820.0,0.3749,52.6530
0.3,80.0,840.0,0.3862,52.9218
0.3,80.0,860.0,0.3975,53.1837
0.3,80.0,880.0,0.4088,53.4426
0.3,80.0,900.0,0.4202,53.6935
0.3,80.0,920.0,0.4316,53.9386
0.3,80.0,940.0,0.4430,54.1808
0.3,80.0,960.0,0.4545,54.4169
0.3,80.0,980.0,0.4660,54.6479
0.3,80.0,1000.0,0.4775,54.8763
0.3,80.0,1020.0,0.4890,55.0997
0.3,80.0,1040.0,0.5006,55.3196
0.3,80.0,1060.0,0.5122,55.5374
0.3,80.0,1080.0,0.5239,55.7506
0.3,80.0,1100.0,0.5356,55.9618
0.3,80.0,1120.0,0.5474,56.1709
0.3,80.0,1140.0,0.5592,56.3775
0.3,80.0,1160.0,0.5709,56.5862
0.3,80.0,1180.0,0.5826,56.7963
0.3,80.0,1200.0,0.5942,57.0070
0.3,80.0,1220.0,0.6058,57.2206
0.3,80.0,1240.0,0.6174,57.4347
0.3,80.0,1260.0,0.6289,57.6505
0.3,80.0,1280.0,0.6403,57.8686
0.3,80.0,1300.0,0.6517,58.0871
0.3,80.0,1320.0,0.6631,58.3076
0.3,80.0,1340.0,0.6744,58.5296
0.3,80.0,1360.0,0.6856,58.7519
