time,frac_pred,temp_pred
0,0.0,31.066854
20,0.0064642727,33.86176
40,0.035039574,36.45823
60,0.06587851,38.865456
80,0.09872967,41.096012
100,0.1333129,43.164814
120,0.16933551,45.08833
140,0.2065084,46.883717
160,0.24456066,48.568203
180,0.28325456,50.15865
200,0.3223949,51.67115
220,0.36183405,53.120853
240,0.40147,54.521763
260,0.44123876,55.886745
280,0.48109877,57.227364
300,0.5210093,58.553913
320,0.56090873,59.87542
340,0.60068667,61.19949
360,0.64016825,62.532375
380,0.67909783,63.878864
400,0.7171424,65.24223
420,0.7539019,66.62418
440,0.7889373,68.02486
460,0.821807,69.44275
480,0.8521075,70.874664
500,0.8795131,72.315765
520,0.9038058,73.75958
540,0.92489475,75.198204
560,0.94281894,76.62254
580,0.9577338,78.0228
600,0.96989185,79.388954
620,0.97960967,80.71139
640,0.98723847,81.981476
660,0.9931343,83.191956
680,0.99763614,84.33729
700,1.0,85.41378
720,1.0,86.41957
740,1.0,87.35435
760,1.0,88.21922
780,1.0,89.01636
800,1.0,89.74876
820,1.0,90.41992
840,1.0,91.03367
860,1.0,91.593925
880,1.0,92.1046
900,1.0,92.569565
920,1.0,92.99244
940,1.0,93.37669
960,1.0,93.725494
980,1.0,94.04185
1000,1.0,94.32845
1020,1.0,94.58784
1040,1.0,94.82227
1060,1.0,95.03387
1080,1.0,95.224495
1100,1.0,95.39593
1120,1.0,95.54972
1140,1.0,95.687325
1160,1.0,95.81004
1180,1.0,95.91911
1200,1.0,96.015625
1220,1.0,96.100555
1240,1.0,96.174866
1260,1.0,96.23939
1280,1.0,96.2949
1300,1.0,96.34211
1320,1.0,96.38169
1340,1.0,96.41424
1360,1.0,96.44033
1380,1.0,96.460464
1400,1.0,96.4751
1420,1.0,96.48471
1440,1.0,96.48969
1460,1.0,96.490425
1480,1.0,96.48724
