velo_in,temp_in,time,frac_true,frac_pred,temp_pcm_true,temp_pcm_pred
0.7,85.0,0.0,0.0,0.0,30.0,30.536228
0.7,85.0,20.0,0.0,0.0,32.02794,32.802105
0.7,85.0,40.0,0.00337,0.0,34.6164,34.912647
0.7,85.0,60.0,0.01712,0.0,36.84017,36.877
0.7,85.0,80.0,0.03685,0.025215447,38.77763,38.704544
0.7,85.0,100.0,0.06063,0.052670658,40.49498,40.404556
0.7,85.0,120.0,0.08683,0.08014497,42.05019,41.985775
0.7,85.0,140.0,0.11463,0.10765013,43.47212,43.456287
0.7,85.0,160.0,0.14362,0.13519469,44.77376,44.823288
0.7,85.0,180.0,0.17282,0.16278395,45.99332,46.093224
0.7,85.0,200.0,0.20192,0.1904214,47.14472,47.27192
0.7,85.0,220.0,0.23076,0.21810868,48.23561,48.365067
0.7,85.0,240.0,0.25903,0.24584898,49.28243,49.37863
0.7,85.0,260.0,0.28684,0.2736479,50.28459,50.31932
0.7,85.0,280.0,0.31434,0.30151463,51.24078,51.194946
0.7,85.0,300.0,0.34164,0.3294619,52.15098,52.014317
0.7,85.0,320.0,0.36867,0.35750392,53.02583,52.78703
0.7,85.0,340.0,0.39571,0.38565487,53.85835,53.522873
0.7,85.0,360.0,0.42285,0.41392496,54.65001,54.23125
0.7,85.0,380.0,0.45007,0.44231772,55.40762,54.920555
0.7,85.0,400.0,0.47752,0.4708289,56.13107,55.59783
0.7,85.0,420.0,0.50541,0.49944413,56.81783,56.26859
0.7,85.0,440.0,0.53388,0.5281391,57.47141,56.93689
0.7,85.0,460.0,0.56237,0.5568783,58.11568,57.605408
0.7,85.0,480.0,0.59049,0.58561647,58.76761,58.275784
0.7,85.0,500.0,0.61818,0.6142974,59.42784,58.948856
0.7,85.0,520.0,0.64541,0.64285314,60.09742,59.62487
0.7,85.0,540.0,0.67218,0.6712051,60.77512,60.30375
0.7,85.0,560.0,0.69843,0.6992619,61.46127,60.98523
0.7,85.0,580.0,0.72416,0.72692,62.15459,61.669064
0.7,85.0,600.0,0.7531,0.75406325,62.85569,62.355103
0.7,85.0,620.0,0.78167,0.78056395,63.56362,63.043423
0.7,85.0,640.0,0.80577,0.8062853,64.2785,63.734394
0.7,85.0,660.0,0.82912,0.8310841,64.9998,64.42869
0.7,85.0,680.0,0.85167,0.85481447,65.72746,65.127266
0.7,85.0,700.0,0.87329,0.877334,66.46216,65.83136
0.7,85.0,720.0,0.89387,0.8985096,67.20413,66.54234
0.7,85.0,740.0,0.91327,0.9182231,67.95517,67.261505
0.7,85.0,760.0,0.93131,0.9363775,68.71677,67.98993
0.7,85.0,780.0,0.94772,0.9529016,69.49409,68.72824
0.7,85.0,800.0,0.96219,0.967754,70.29279,69.47641
0.7,85.0,820.0,0.97427,0.9809244,71.12295,70.233574
0.7,85.0,840.0,0.98379,0.99243355,71.98107,70.99794
0.7,85.0,860.0,0.9909,1.0,72.85321,71.76684
0.7,85.0,880.0,0.99582,1.0,73.7269,72.53671
0.7,85.0,900.0,0.99883,1.0,74.58812,73.30333
0.7,85.0,920.0,1.0,1.0,75.43454,74.061966
0.7,90.0,0.0,0.0,0.0,30.0,30.568413
0.7,90.0,20.0,0.0,0.0,32.21229,32.929565
0.7,90.0,40.0,0.0069,0.0,34.93056,35.133904
0.7,90.0,60.0,0.02507,0.007382393,37.23562,37.19043
0.7,90.0,80.0,0.04952,0.037297815,39.24085,39.108536
0.7,90.0,100.0,0.07779,0.06721443,41.03149,40.897633
0.7,90.0,120.0,0.10866,0.09714803,42.65184,42.56677
0.7,90.0,140.0,0.14081,0.12711048,44.14649,44.124336
0.7,90.0,160.0,0.17341,0.157112,45.54895,45.577946
0.7,90.0,180.0,0.20589,0.1871584,46.87928,46.93439
0.7,90.0,200.0,0.2378,0.21725255,48.15732,48.1998
0.7,90.0,220.0,0.26908,0.24739587,49.38546,49.380035
0.7,90.0,240.0,0.29973,0.27758855,50.568,50.481148
0.7,90.0,260.0,0.32993,0.3078336,51.70361,51.509846
0.7,90.0,280.0,0.35982,0.33813626,52.79218,52.47395
0.7,90.0,300.0,0.38947,0.3685038,53.83676,53.382347
0.7,90.0,320.0,0.41906,0.39894673,54.83647,54.244972
0.7,90.0,340.0,0.44871,0.42947394,55.7926,55.07215
0.7,90.0,360.0,0.47854,0.46009094,56.70644,55.873966
0.7,90.0,380.0,0.5087,0.49079585,57.57872,56.659676
0.7,90.0,400.0,0.53942,0.52157867,58.40905,57.437218
0.7,90.0,420.0,0.57073,0.55241704,59.20506,58.212883
0.7,90.0,440.0,0.6018,0.58327794,59.99989,58.99137
0.7,90.0,460.0,0.63234,0.6141156,60.80521,59.77584
0.7,90.0,480.0,0.66232,0.6448708,61.62101,60.568153
