velo_in,temp_in,time,frac_true,frac_pred,temp_pcm_true,temp_pcm_pred
0.7,85.0,0.0,0.0,0.0,30.0,29.531904
0.7,85.0,20.0,0.0,0.0,32.02794,32.02314
0.7,85.0,40.0,0.00337,0.013610467,34.6164,34.30274
0.7,85.0,60.0,0.01712,0.030721232,36.84017,36.38618
0.7,85.0,80.0,0.03685,0.049876824,38.77763,38.29038
0.7,85.0,100.0,0.06063,0.07090901,40.49498,40.032745
0.7,85.0,120.0,0.08683,0.093632564,42.05019,41.63042
0.7,85.0,140.0,0.11463,0.11784947,43.47212,43.099724
0.7,85.0,160.0,0.14362,0.14335093,44.77376,44.4559
0.7,85.0,180.0,0.17282,0.16992247,45.99332,45.712826
0.7,85.0,200.0,0.20192,0.1973486,47.14472,46.882977
0.7,85.0,220.0,0.23076,0.22541791,48.23561,47.97746
0.7,85.0,240.0,0.25903,0.2539297,49.28243,49.006138
0.7,85.0,260.0,0.28684,0.2827004,50.28459,49.977596
0.7,85.0,280.0,0.31434,0.31156832,51.24078,50.89946
0.7,85.0,300.0,0.34164,0.34040037,52.15098,51.778393
0.7,85.0,320.0,0.36867,0.3690939,53.02583,52.620327
0.7,85.0,340.0,0.39571,0.39757887,53.85835,53.430553
0.7,85.0,360.0,0.42285,0.4258172,54.65001,54.21386
0.7,85.0,380.0,0.45007,0.45379972,55.40762,54.97455
0.7,85.0,400.0,0.47752,0.48154205,56.13107,55.71663
0.7,85.0,420.0,0.50541,0.50907767,56.81783,56.44381
0.7,85.0,440.0,0.53388,0.5364505,57.47141,57.15954
0.7,85.0,460.0,0.56237,0.5637067,58.11568,57.866985
0.7,85.0,480.0,0.59049,0.59088564,58.76761,58.569195
0.7,85.0,500.0,0.61818,0.61801124,59.42784,59.268925
0.7,85.0,520.0,0.64541,0.6450841,60.09742,59.968628
0.7,85.0,540.0,0.67218,0.6720763,60.77512,60.67059
0.7,85.0,560.0,0.69843,0.6989262,61.46127,61.376736
0.7,85.0,580.0,0.72416,0.72553754,62.15459,62.088646
0.7,85.0,600.0,0.7531,0.7517807,62.85569,62.80762
0.7,85.0,620.0,0.78167,0.77749664,63.56362,63.534523
0.7,85.0,640.0,0.80577,0.8025049,64.2785,64.26991
0.7,85.0,660.0,0.82912,0.8266117,64.9998,65.01389
0.7,85.0,680.0,0.85167,0.84962034,65.72746,65.7662
0.7,85.0,700.0,0.87329,0.8713443,66.46216,66.526146
0.7,85.0,720.0,0.89387,0.8916151,67.20413,67.29265
0.7,85.0,740.0,0.91327,0.9102941,67.95517,68.06422
0.7,85.0,760.0,0.93131,0.92727846,68.71677,68.83889
0.7,85.0,780.0,0.94772,0.9425058,69.49409,69.61439
0.7,85.0,800.0,0.96219,0.9559565,70.29279,70.387985
0.7,85.0,820.0,0.97427,0.96765345,71.12295,71.156654
0.7,85.0,840.0,0.98379,0.97765714,71.98107,71.91718
0.7,85.0,860.0,0.9909,0.9860619,72.85321,72.66612
0.7,85.0,880.0,0.99582,0.9929883,73.7269,73.40006
0.7,85.0,900.0,0.99883,0.9985761,74.58812,74.11561
0.7,85.0,920.0,1.0,1.0,75.43454,74.809616
0.7,90.0,0.0,0.0,0.0,30.0,29.86809
0.7,90.0,20.0,0.0,0.00019919872,32.21229,32.379185
0.7,90.0,40.0,0.0069,0.018741325,34.93056,34.692646
0.7,90.0,60.0,0.02507,0.039427206,37.23562,36.822422
0.7,90.0,80.0,0.04952,0.062082782,39.24085,38.783955
0.7,90.0,100.0,0.07779,0.08651067,41.03149,40.59332
0.7,90.0,120.0,0.10866,0.11249553,42.65184,42.26656
